brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group
Mitsubishi,Outlander,Mitsubishi Outlander,70000.0,2016,2,150.0,0,petrol,2.0,0,1,1,0,0,0,mitsubishi,Other
Skoda,Kodiaq,Skoda Kodiaq,128000.0,2019,1,150.0,0,petrol,1.5,0,0,1,0,1,1,skoda,Budget
Hyundai,Unknown,Hyundai and New,82000.0,2020,1,123.0,0,petrol,1.6,0,1,1,0,0,0,hyundai,Budget
Hyundai,Ioniq,Hyundai Ioniq,85000.0,2020,1,141.0,0,hybrid,1.6,0,0,0,0,1,1,hyundai,Budget
Infiniti,QX60,Infiniti QX60,67675.0,2014,5,265.0,1,petrol,3.5,0,1,0,0,0,0,infiniti,Other
Skoda,Yeti,Skoda Yeti / Yeti,27000.0,2012,2,105.0,0,petrol,1.2,0,1,0,1,0,0,skoda,Budget
Daihatsu,Sirion,Daihatsu Sirion,17500.0,2010,3,87.0,0,petrol,1.3,1,0,0,0,0,0,daihatsu,Other
Nissan,X-Trail,Nissan X-Trail,93200.0,2018,1,130.0,0,diesel,1.6,1,0,0,0,0,0,nissan,Budget
Subaru,Forester,Subaru Forester,83000.0,2018,2,150.0,1,petrol,2.0,1,0,0,0,0,0,subaru,Other
Chevrolet,Equinox,Chevrolet Equinox,88350.0,2019,2,170.0,0,electric,1.5,0,1,1,0,0,0,chevrolet,Budget
Hyundai,Getz,Hyundai Getz,8500.0,2007,2,97.0,0,petrol,1.4,1,0,0,0,0,0,hyundai,Budget
Peugeot,3008,Peugeot 3008,93000.0,2018,1,165.0,0,petrol,1.6,0,1,1,0,0,0,peugeot,Other
Hyundai,,Hyundai buys,100000.0,2023,1,198.0,0,petrol,1.6,0,1,1,0,0,0,hyundai,Budget
Peugeot,3008,Peugeot 3008,102000.0,2020,1,130.0,0,petrol,1.2,0,0,1,0,1,1,peugeot,Other
Suzuki,Ignis,Suzuki Ignis,70000.0,2022,1,83.0,0,hybrid,1.2,0,1,1,0,0,0,suzuki,Budget
Nissan,X-Trail,Nissan X-Trail,94990.0,2021,1,160.0,0,petrol,1.3,1,1,1,0,0,0,nissan,Budget
Hyundai,i30,Hyundai i30,39900.0,2014,2,135.0,0,petrol,1.6,1,0,0,0,0,0,hyundai,Budget
Porsche,Macan,Porsche Macan,169900.0,2015,3,340.0,1,petrol,3.0,0,1,0,0,0,0,porsche,Luxury
Hyundai,i20,Hyundai i20,78000.0,2021,1,100.0,0,petrol,1.0,1,0,1,0,0,0,hyundai,Budget
Toyota,Hilux,Toyota Hilux 4X4,176800.0,2019,1,150.0,1,diesel,2.4,0,1,1,0,1,1,toyota,Budget
Skoda,Karoq,Skoda Karoq,95900.0,2020,1,150.0,0,petrol,1.5,0,1,1,0,1,1,skoda,Budget
Volkswagen,Transporter,Volkswagen commercial/passenger transporter,108800.0,2019,1,150.0,0,diesel,2.0,1,0,1,1,0,0,volkswagen,Other
Toyota,Corolla Hybrid,Toyota Corolla Hybrid,99500.0,2020,1,98.0,0,petrol,1.8,0,0,1,1,1,1,toyota,Budget
Jeep,Grand Cherokee,Jeep / Jeep Grand Cherokee,199000.0,2020,3,286.0,1,petrol,3.6,1,0,1,0,1,1,jeep,Other
Peugeot,3008,Peugeot 3008,85000.0,2019,1,181.0,0,diesel,2.0,0,1,0,1,1,1,peugeot,Other
Audi,Q2,Audi Q2,115000.0,2019,1,116.0,0,petrol,1.0,0,1,1,0,1,1,audi,Luxury
Alfa Romeo,Giulietta,Alfa Romeo Giulietta,64000.0,2017,2,170.0,0,petrol,1.4,1,1,0,1,0,0,alfa romeo,Other
Hyundai,Tucson,Hyundai Tucson,68500.0,2017,1,132.0,0,petrol,1.6,1,1,0,0,0,0,hyundai,Budget
Renault,Trafic,Renault Trafic is long,58000.0,2015,1,115.0,0,diesel,2.0,0,0,0,0,0,0,renault,Budget
Polestar,Polestar2,Polestar / POLESTAR Polestar2,235000.0,2022,1,476.0,1,electric,,0,0,1,1,0,0,polestar,Other
Audi,A1,Audi A1,118000.0,2021,1,110.0,0,petrol,1.0,0,1,1,0,0,0,audi,Luxury
Jaguar,E-Pace,Jaguar E-Pace,120000.0,2018,2,250.0,1,petrol,2.0,0,1,1,0,0,0,jaguar,Luxury
Geely,Geely Geometry C,Geely - Geely Geometry C,142000.0,2023,1,204.0,0,electric,,0,1,0,1,0,0,geely,Other
Hyundai,i10,Hyundai i10,30000.0,2015,2,87.0,0,petrol,1.2,1,1,0,0,0,0,hyundai,Budget
Chevrolet,Silverado 2500,Chevrolet Silverado 2500,72000.0,2018,2,445.0,1,diesel,6.6,1,0,0,0,0,0,chevrolet,Budget
Toyota,RAV4 Hybrid,Toyota RAV4 Hybrid,110000.0,2016,1,155.0,0,hybrid,2.5,0,1,0,0,0,0,toyota,Budget
Nissan,Qashqai,Nissan Qashqai,95000.0,2019,1,159.0,0,petrol,1.3,0,1,1,0,0,0,nissan,Budget
Citroen,Berlingo,Citroen Berlingo 2nd generation (2008-2019),27000.0,2016,2,75.0,0,diesel,1.6,1,0,0,1,0,0,citroen,Other
Nissan,X-Trail,Nissan X-Trail,62500.0,2017,1,130.0,0,diesel,1.6,0,1,1,0,0,0,nissan,Budget
Fiat,500,Fiat 500,37000.0,2017,3,69.0,0,petrol,1.2,0,1,1,0,0,0,fiat,Budget
Subaru,B3,Subaru B3 hatchback,25500.0,2010,3,150.0,1,petrol,2.0,1,1,0,0,0,0,subaru,Other
Toyota,Corolla Hybrid,Toyota Corolla Hybrid,117000.0,2021,1,98.0,0,petrol,1.8,0,1,1,0,0,0,toyota,Budget
Skoda,Fabia,Skoda Fabia Spice,20000.0,2012,2,86.0,0,petrol,1.2,1,0,0,1,0,0,skoda,Budget
Chevrolet,Spark,Chevrolet Spark,48000.0,2019,1,98.0,0,electric,1.4,0,1,1,0,0,0,chevrolet,Budget
Peugeot,107,Peugeot 107,9000.0,2011,3,70.0,0,petrol,1.0,1,0,0,1,0,0,peugeot,Other
Kia,Picanto,Kia Picanto,58000.0,2018,1,84.0,0,petrol,1.2,0,1,1,0,0,0,kia,Budget
Land Rover,Discovery 3,Land Rover Discovery 3,85000.0,2007,3,190.0,1,diesel,2.7,1,1,0,0,0,0,land rover,Luxury
Nissan,Micra,Nissan Micra,15000.0,2011,1,80.0,0,petrol,1.2,1,0,0,0,0,0,nissan,Budget
